店名,種類,地址,評價,評分人數
天天食蔬（原天慈素食）,restaurant,545台灣南投縣埔里鎮南昌街262號,4.5,334
如意素食,restaurant,545台灣南投縣埔里鎮中正路246-1號,4.7,132
佳和素食館,restaurant,545台灣南投縣埔里鎮南安路156號,4.5,130
鳳琴蔬食小點,restaurant,545台灣南投縣埔里鎮中正三路174號,4.9,13
阿深越南蔬食,restaurant,545台灣南投縣埔里鎮中正路577號,4.5,400
菩提樹麵包店,restaurant,545台灣南投縣埔里鎮北環路53之1號,4.5,34
三元素食,restaurant,545台灣南投縣埔里鎮中華路214號,4.7,17
豪里由素食炸物滷味專賣店,restaurant,545台灣南投縣埔里鎮中山路二段307號,4.6,158
劉家觀音素食,restaurant,545台灣南投縣埔里鎮第三市場112號,5.0,1
張素食早點｜30年老店｜當歸湯｜炒麵｜麵線糊｜粽子｜水煎包｜,restaurant,545台灣南投县埔里镇中华路132號之E 545,4.5,60
陳味素食滷味｜埔里巷弄美食｜埔里素食滷味｜小吃推薦｜,restaurant,545台灣南投縣埔里鎮南榮路23號,4.6,55
張素食早點｜30年老字號水煎包,restaurant,545台灣南投縣埔里鎮鐵山路14號,4.8,63
本味屋素麵（素食）,restaurant,545台灣南投縣埔里鎮西安路一段27號,4.7,11
夢鄉引,"restaurant, store",545台灣南投縣埔里鎮中華路61號,4.7,475
馨之所向許願花莊園cafe,"cafe, restaurant",545台灣南投縣埔里鎮向善路26-8號,4.7,268
仁齋素食,restaurant,545台灣南投縣埔里鎮忠孝路157號545,5.0,3
SUN蔬食素食早午餐 ｜埔里素食｜漢堡｜ 素食 ｜全素｜奶素｜蛋奶素｜咖啡｜沙拉,restaurant,"667號, No. 667號信義路埔里鎮南投縣台灣 545",4.7,139
温馨素食,restaurant,545台灣南投縣埔里鎮中正路993號,5.0,21
圓緣素食,restaurant,545台灣南投縣埔里鎮東華路17號,4.9,10
素食的路 全素麵線糊,restaurant,545台灣南投縣埔里鎮忠孝路127號,5.0,7
埔里詹媽媽素食早餐,restaurant,545台灣南投縣埔里鎮中山路三段343號,4.8,33
周姐素食水煎包,restaurant,545台灣南投縣埔里鎮北澤街120號,4.9,7
圈圈大鼓餅 素食 純素,"bakery, restaurant, store",545台灣南投縣埔里鎮建國路39-4號,4.7,102
澄石野老林 -車埕美食 景觀餐廳,restaurant,553台灣南投縣水里鄉民權巷3號,4.8,1426
水里車埕歐樂麵包店 OLO BAKERY,"bakery, restaurant, store",553台灣南投縣水里鄉村民權巷110之2號,4.7,866
米蟲cafe’；米蟲咖啡丨Alazyday cafe’ 丨最後點餐時間18:30丨義大利麵丨燉飯丨咖喱飯丨手工冰淇淋丨手沖咖啡丨下午茶丨鬆餅丨厚片丨素食丨外帶咖啡丨寵物友善丨假日無訂位服務丨週一公休丨水里美食丨客家幣合作店家,"cafe, meal_delivery, restaurant, store",553台灣南投縣水里鄉民生路220號,4.8,288
The Shed 尼爾的美食手作(土耳其披薩),restaurant,553台灣南投縣水里鄉水信路一段726號,4.8,237
行水餐坊x精緻家庭料理x無菜單宴席桌菜x家庭合菜x人氣餐廳,restaurant,553台灣南投縣水里鄉城安街2號,4.6,200
禾軒·𝗛𝗘𝗫𝗨𝗔𝗡• 家常簡餐·茶點·厚片·🍻生啤·《寵物友善》,restaurant,553台灣南投縣水里鄉成功路15號,4.6,274
木之村小吃部 臭豆腐,restaurant,553台灣南投縣水里鄉民權巷115號,4.6,612
銘芳自助餐,restaurant,"553台灣南投縣水里鄉中正路85號, 553",4.5,22
原味烤地瓜,restaurant,553台灣南投縣水里鄉民生路337號,5.0,3
La fois時光歐法私廚料理,restaurant,553台灣南投縣水里鄉中正路90號,4.9,91
天然素食,restaurant,552台灣南投縣集集鎮民生路252號,4.6,205
車埕三合院餐館（有營業歡迎外帶）,restaurant,553台灣南投縣水里鄉村民權巷38號,4.6,268
水里彭珍姐客家美食,restaurant,553台灣南投縣水里鄉鉅工村民生路242號,4.8,38
貴雅手工水餃,restaurant,553台灣南投縣水里鄉民權路202號,4.8,74
集一素食,restaurant,552台灣南投縣集集鎮集集街136號,4.5,4
水里河堤現炒,restaurant,553台灣南投縣水里鄉131縣道,4.6,28
機車貓聯盟,restaurant,553台灣南投縣水里鄉民生路102號,4.9,101
昌億素食,restaurant,552台灣南投縣集集鎮民生路15號,4.5,39
山頂玻璃屋私房菜,restaurant,555台灣南投縣魚池鄉平和巷106之1號,4.6,1277
水里謝家肉圓老店,restaurant,553台灣南投縣水里鄉太平街3號,4.5,311
水里真赤煎粿,store,553台灣南投縣水里鄉中富街15號,4.9,116
早點潤餅、刈包🧨,restaurant,553台灣南投縣水里鄉民生路403號,4.9,43
水里古早味玉米（烤玉米推車）,restaurant,553台灣南投縣水里鄉民生路286號鉅工村民生路286號,4.7,81
水煎包,"meal_takeaway, restaurant, store",553台灣南投縣水里鄉民生路,4.8,19
水里蛇窯 x 土土甜品店（ 需購票入園 ）古裝體驗採預約制,store,553台灣南投縣水里鄉回窯路16號,4.5,163
岡山羊肉快炒(水里店),restaurant,553台灣南投縣水里鄉民生路196號,4.8,1603
般若素齋坊,restaurant,557台灣南投縣竹山鎮竹山路18-1號,4.5,135
天喜素食竹山,restaurant,557台灣南投縣竹山鎮瑞竹巷25弄1號,4.7,60
素香素食,restaurant,557台灣南投縣竹山鎮集山路三段573號,4.8,60
尚齋善哉-素食坊,restaurant,557台灣南投縣竹山鎮集山路二段994巷14號,5.0,99
元品素食,restaurant,557台灣南投縣竹山鎮前山路一段66號,4.6,79
玫瑰素食,restaurant,557台灣南投縣竹山鎮集山路三段85號,4.7,47
素食麵攤,restaurant,557台灣南投縣竹山鎮雲林路66-2號,4.7,15
豐興素食,restaurant,557台灣南投縣竹山鎮林圯街58號之1號,4.7,3
非素不可,restaurant,"No. 251號, 大明路竹山鎮南投縣台灣 557",4.5,156
南投竹山紫南宮美食-轉角黃金蜜地瓜,"bakery, restaurant, store",557台灣南投縣竹山鎮大公街51-1號,4.9,3564
廖記/廟口啾啾蛋/地瓜球,restaurant,557台灣南投縣竹山鎮竹山路73號,4.9,53
來發健康素食部,restaurant,557台灣南投縣竹山鎮前山路3號竹山郵局正對面,4.8,47
温臭豆腐,store,557台灣南投縣竹山鎮大明路350號,4.5,83
竹山一心素食材料行/素料批發零售/堅果乾貨/網路熱銷素食產品/年菜,"health, store",557台灣南投縣竹山鎮前山路一段42號,4.9,9
天道堂素料養生天地,"grocery_or_supermarket, store, supermarket",557台灣南投縣竹山鎮集山路三段1076號,4.8,11
品禾園石頭汕頭火鍋 竹山店,restaurant,557台灣南投縣竹山鎮大明路230號,5.0,4
蝶舞花間（預約制私廚無菜單料理）,restaurant,557台灣南投縣竹山鎮田子里田東路48-8號,4.8,233
開禧食堂,restaurant,558台灣南投縣鹿谷鄉鹿彰路333-2號,4.7,75
花園小鎮親子餐廳,restaurant,557台灣南投縣竹山鎮祖師街32號,4.9,872
牛家家海苔飯捲（全素）,"meal_takeaway, restaurant",557台灣南投縣竹山鎮雲林路40號,4.7,37
白師傅食堂 竹山總店,restaurant,557台灣南投縣竹山鎮橫街85號,4.7,57
山茶話堂-芳吉1991/甜品/茶葉/下午茶,"cafe, restaurant, store",557台灣南投縣竹山鎮自強路76-2號,4.8,166
"一茶一伴 A Tea Co., Ltd ( 不定期公休，公休日請見IG主頁 )",,557台灣南投縣竹山鎮頂橫街4-2號,4.9,145
奶媽早點,restaurant,557台灣南投縣竹山鎮集山路三段491號,4.9,30
督賀艾莉Doho Alley｜婚禮場地（督賀蔬苑旁）,restaurant,542台灣南投縣草屯鎮芬草路二段796巷67號,4.7,117
蔬食堡,restaurant,542台灣南投縣草屯鎮明正巷22-4號,4.7,26
蓮花素食館,restaurant,542台灣南投縣草屯鎮虎山路618號,4.5,124
素獸石窯,"bakery, electrician, plumber, store",542台灣南投縣草屯鎮富昌路299號,4.5,191
丞洋烘焙坊,"bakery, restaurant, store",542台灣南投县草屯镇碧山路756-5號號 542,4.8,49
明弘素食,restaurant,542台灣南投縣草屯鎮嘉興街8-18號,5.0,6
馨園素食,restaurant,542台灣南投縣草屯鎮青雲街37號,4.5,96
天慈素食碧山店,restaurant,542台灣南投縣草屯鎮碧山路1157-5號號,4.5,46
慈慧素食水煎包,restaurant,"號 No. 298, 虎山路草屯鎮南投縣台灣 542",4.6,100
蔬鑫素食麵攤,restaurant,542台灣南投縣草屯鎮忠孝街320號,4.6,14
菇咕素食炸物,restaurant,542台灣南投縣草屯鎮碧山南路2號,4.7,54
天利食堂南投草屯店,restaurant,542台灣南投縣草屯鎮大成街108-1號,4.9,8974
素食麵店,restaurant,542台灣南投縣草屯鎮碧山南路154號,4.6,11
百味香素食,restaurant,542台灣南投縣草屯鎮和興街55號公有市場前,5.0,1
金長壽素食麵店,restaurant,542台灣南投縣草屯鎮中山街507號,4.5,71
G先生炸物,restaurant,542台灣南投縣草屯鎮中正路809號,4.7,119
蔬炸蛋餅（炸蛋餅/粉漿蛋餅/脆皮蛋餅）-蛋奶素,restaurant,542台灣南投縣草屯鎮富林路二段6-1號,4.8,74
自然素食滷,restaurant,542台灣南投縣草屯鎮碧山南路2-1號,4.9,9
慈愛素食,restaurant,542台灣南投縣草屯鎮草溪路80之43號,4.8,4
蓮慈音素食專賣,"restaurant, store",542台灣南投縣草屯鎮中山街416號,5.0,1
素食麵店,restaurant,542台灣南投縣草屯鎮芬草路二段300號,5.0,3
草屯老地方臭豆腐,restaurant,542台灣南投縣草屯鎮芬草路一段10號,4.6,17
好素成雙素食早餐店,restaurant,542台灣南投縣草屯鎮草溪路1068號,4.5,68
天之餃子素食坊,restaurant,542台灣南投縣草屯鎮碧山路55號,4.9,9
米特三文治meet Sandwiches,restaurant,542台灣南投縣草屯鎮虎山路487號,4.8,35
崴記素的滷味,restaurant,542台灣南投縣草屯鎮中山街395號,4.7,3
天佑素食便當,restaurant,542台灣南投縣草屯鎮虎山路308號,5.0,4
秈慧的舖,,542台灣南投縣草屯鎮中正路正芬巷19號,4.7,50
承洋素食,restaurant,542台灣南投縣草屯鎮芬草路一段16號,5.0,3
嘉味料理,restaurant,542台灣南投縣草屯鎮博愛路326-2號,4.5,141
李易齋麵線糊,restaurant,542台灣南投縣草屯鎮碧山路188號,4.8,38
光地蔬食 Grounding Vegan,restaurant,552台灣南投縣集集鎮民生路13之26號集寶門市旁邊 白色貨櫃屋｜7-11,5.0,139
古早味素食,restaurant,552台灣南投縣集集鎮集集街111-1號,4.6,8
天祥餐館,restaurant,555台灣南投縣魚池鄉中山路121號,4.6,17
寒拾苑 江浙料理,restaurant,555台灣南投縣魚池鄉中正路58號潭日月1F,4.7,1701
愛徠餐廳 南投(美食餐廳/合菜推薦) 日月潭(餐廳推薦/美食/熱炒/合菜) 魚池鄉(美食/餐廳推薦),restaurant,555台灣南投县鱼池乡通文巷6-28號,4.9,390
永恆星空-觀光茶園.自助泡茶,restaurant,558台灣南投縣鹿谷鄉羊灣巷800-36號號558,4.8,375
LOOK for 鹿克,restaurant,558台灣南投縣鹿谷鄉鹿彰路,4.9,94
阿潘家幸福蔬食 一中店,restaurant,404台灣臺中市北區太平路95號,4.9,1608
蔬食樂 SoothRoad Cafe'&Meal,restaurant,400台灣臺中市中區市府路14號1樓,4.7,343
斐得蔬食 熱浪來襲 台中金典綠園道店,restaurant,403台灣臺中市西區健行路1049號3樓,4.8,1516
擺渡人文蔬食料理,restaurant,404台灣臺中市北區學士路181號1樓,4.8,1064
歡喜緣素食,restaurant,400台灣臺中市中區繼光街158號,4.5,358
