店名,種類,地址,評價,評分人數
（附素食）小套房咖啡,"cafe, restaurant",621台灣嘉義縣民雄鄉16之16號,4.6,175
頭橋王記素食水煎包,restaurant,621台灣嘉義縣民雄鄉387號,4.9,39
三十三天素食海苔飯捲,restaurant,621台灣嘉義縣民雄鄉復興路72號,4.5,84
貳訪食堂,"meal_delivery, restaurant",621台灣嘉義縣民雄鄉建國路二段116-5號,4.5,427
傳香飯糰〈素食專賣〉-民雄文隆店,restaurant,621台灣嘉義縣民雄鄉2-50號,5.0,5
相SIANG－家庭料理（預約制,restaurant,621台灣嘉義縣民雄鄉103號,5.0,135
蔬芙suitfoodsalad (中正店),"health, restaurant, store",621台灣嘉義縣民雄鄉神農路83號,4.8,271
即食找餐一號店,,621台灣嘉義縣民雄鄉福樂村埤角230號,5.0,19
晴樂廚房（晴樂滷味）,restaurant,621台灣嘉義縣民雄鄉安和路43號,4.7,132
福樂素食水煎包,restaurant,621台灣嘉義縣民雄鄉福樂村埤角342號,5.0,2
一塊粿（民雄攤位）素食麵線糊,restaurant,621台灣嘉義縣民雄鄉復興路72號,5.0,1
素食粥,restaurant,621台灣嘉義縣民雄東榮村,5.0,2
河馬先生甜點烘焙坊,"bakery, store",621台灣嘉義縣民雄鄉建國路一段11號,4.6,296
樂趣 AT FUN,"restaurant, store",621台灣嘉義縣民雄鄉安和路10號,4.5,384
初八拉麵-民雄店,restaurant,621台灣嘉義縣民雄鄉建國路二段488-1號,4.7,5953
盈楹越南食堂quán phở chị Doanh,restaurant,621台灣嘉義縣民雄鄉建國路二段148號,4.9,375
蘇媽泰式料理,restaurant,621台灣嘉義縣民雄鄉建國路三段124巷8弄46號,4.6,136
嘉義水上正宗素食,restaurant,608台灣嘉義縣水上鄉正義路113號,4.9,155
慈緣素食,restaurant,608台灣嘉義縣水上鄉中和路185號,4.5,52
承煜素食,restaurant,608台灣嘉義縣水上鄉中興路161號,5.0,3
修德圓膳食,restaurant,608台灣嘉義縣水上鄉正義路26號,4.7,17
成福素食,restaurant,608台灣嘉義縣水上鄉柳子林47之15號,5.0,7
大巴掌飲食生活工作坊,restaurant,60246台灣嘉義縣番路鄉 梅花六路2巷 9號,4.7,177
有機精力湯/有機綠拿鐵/有機香濃豆漿（有糖.無糖）/五星級純淨飲食新概念/全素可食。來嘉一起蛻變健康。仁義潭。,restaurant,602台灣嘉義縣番路鄉後坑仔,5.0,5
龍舞雲海高山蔬菜火鍋(2025年11月21號本店全新裝潢好開幕了~景觀餐廳）第一家現採高山蔬菜火鍋,restaurant,602台灣嘉義縣番路鄉隙頂五鄰52-12號,4.9,686
小確幸簡單的幸福❤️鮮採高山蔬菜火鍋專賣店,restaurant,602台灣嘉義縣番路鄉隙頂五鄰75-6號,4.9,432
傳說路小吃(嘉義縣番路鄉),restaurant,602台灣嘉義縣番路鄉75-11,4.7,178
長義堂綠豆癀 綠豆黃,cafe,602台灣嘉義縣番路鄉號,4.7,15
森活琚咖啡,cafe,602台灣嘉義縣番路鄉35號,4.6,242
（2/15-2/26老闆放年假陪小孩）阿宏の家，（儘量在5點前電話提前預約訂位）（共鍋吃不飽，盡量選一人一鍋）注意事項一定要看，能接受店裡規矩再來，（假日如需中午用餐，需打電話詢問是否營業，且提早訂餐），韓式拌飯沒辦法馬上訂馬上做，請提早一天預訂）,restaurant,602台灣嘉義縣番路鄉隙頂42號,4.9,816
竹筍之家,restaurant,604台灣嘉義縣竹崎鄉604114-1,4.6,141
素鮮坊(素食),restaurant,604台灣嘉義縣竹崎鄉中華路118號,4.6,28
芳渼庭園餐廳,restaurant,604台灣嘉义县竹崎乡75號1樓,4.8,833
豊合豐禾 景觀餐廳,"restaurant, store",604026台灣嘉義縣竹崎鄉石槕4之1號,4.9,504
晉揚欣·金用心茶食所&咖啡莊園,"restaurant, store",604台灣嘉義縣竹崎鄉22號1樓（文峰遊客中心,4.8,104
台南ㄟ老秦家酵素臭豆腐,restaurant,604台灣嘉義縣竹崎鄉32號,4.6,57
佐藤捲捲,restaurant,604台灣嘉義縣竹崎鄉5-8號 604,4.6,310
奮起湖樂樂花園餐飲,restaurant,604台灣嘉義縣竹崎鄉60477號,4.5,490
屋子裡的廚房,restaurant,604台灣嘉義縣竹崎鄉中華路73號,4.5,295
梅谷餐廳,restaurant,604台灣嘉義縣竹崎鄉191號,4.7,836
竹崎鹿滿蚵嗲,restaurant,604台灣嘉义县竹崎乡50號,4.6,36
林園茶香美食田媽媽-石棹在地美食,restaurant,605台灣嘉義縣阿里山鄉123號2樓,4.6,125
獨立山良食局,restaurant,604台灣嘉義縣竹崎鄉6號,4.5,96
愛玉伯ㄟ厝 （沒有外帶）,,604台灣嘉义县竹崎乡151號,4.6,966
竹崎外省麵,restaurant,604台灣嘉義縣竹崎鄉中華路176號,4.6,5915
FKUO 山芙蓉茶業(BOOK),restaurant,605台灣嘉義縣阿里山鄉9鄰280號,4.5,590
十字路阿嬤草仔粿,"bakery, liquor_store, meal_takeaway, real_estate_agency, restaurant, store",605台灣嘉義縣阿里山鄉30號,4.9,2581
香姨小吃(21麵食),restaurant,605台灣嘉義縣阿里山鄉605娜若瑪菲美食,4.5,299
日出雲起茶館,restaurant,605台灣嘉義縣阿里山鄉1號B1,5.0,96
"明心園馥津製茶廠-阿里山茶,台灣高山茶,茶包,觀光休閒茶莊",store,602台灣嘉義縣番路鄉龍頭18之 1 號,5.0,8
得恩亞納鄒族女人的私房菜創始店,restaurant,605台灣嘉義縣阿里山鄉605 得恩亞納 6 鄰 208 號,4.5,241
有風的地方 部落廚房（預約制）,restaurant,605台灣嘉義縣阿里山鄉13號,4.9,147
達邦街角複合式餐飲,restaurant,"3 鄰 68 號, 阿里山鄉嘉義縣台灣 605",4.6,216
太山便當店-嘉義美食-餐廳-Restaurants,restaurant,604台灣嘉義縣竹崎鄉14號之1,4.8,63
雅娜屋森林小舖（阿里山上的部落餐廳廚房）（每日新鮮餐點需預約）（達娜伊谷）,"restaurant, store",605台灣嘉義縣阿里山鄉吊橋旁,4.6,58
平安快炒,restaurant,604台灣嘉義縣竹崎鄉中和村石桌21-10號,4.6,356
花現茶韻（需提前一天前預約）,restaurant,604台灣嘉義縣竹崎鄉石棹19之14號,4.7,183
阿火伯便當,restaurant,605台灣嘉義縣阿里山鄉32號,4.7,106
仙井咖啡館 XianJing Café / 二延平景觀咖啡廳 / 現場候位無訂位,"cafe, restaurant",602台灣嘉義縣番路鄉80號,4.7,380
漫行林韻茶禮工作室(清明連假有營業）,"restaurant, store",603台灣嘉義縣梅山鄉五號,4.8,294
林家茶園(小山霂茗Drizzle Tea Factory)-霂茗山中尋茶香,"lodging, restaurant, store",604台灣嘉義縣竹崎鄉村石棹19-66號 號,5.0,116
文品蔬果行,"grocery_or_supermarket, store",611台灣嘉義縣鹿草鄉鄉97 號,5.0,12
芹廚房,restaurant,611台灣嘉义县鹿草乡開山街1號,4.9,38
嘉義遇善會客菜/快餐,restaurant,611台灣嘉義縣鹿草鄉鹿草路335號,4.6,14
英吉自助餐,restaurant,611台灣嘉義縣鹿草鄉鹿草路247號,4.6,9
"菜市仔口素食早餐(飯糰,蛋餅,抓餅）",restaurant,611台灣嘉義縣鹿草鄉長壽路263號,4.8,8
品茶屋,"cafe, store",611台灣嘉義縣鹿草鄉鹿草路245號,4.5,28
倉賀野くらがの 日式食屋,restaurant,61249台灣嘉義縣太保市太保二路119號,4.7,71
七號廚房精緻早午餐-鹿草店,restaurant,611台灣嘉義縣鹿草鄉鹿草路241號,4.5,70
嘉義家鄉味會客菜（保安宮旁）,restaurant,611001台灣嘉義縣鹿草鄉4-3號,4.6,5
蔬食小棧,restaurant,206台灣基隆市七堵區自治街16號,4.8,52
一樹素食坊,restaurant,206台灣基隆市七堵區自治北街15號,4.6,67
健康素食麵線羹,restaurant,206台灣基隆市七堵區自治街26號,4.7,15
香園素食｜早餐｜午餐｜冷凍素料｜冷凍水餃｜冷凍香椿餅,restaurant,206台灣基隆市七堵區開元路67號1 樓,4.6,20
活力蔬食 早餐,restaurant,206台灣基隆市七堵區東新街10號,5.0,17
金庫1985 (咖啡、蔬食、創業孵化器),"cafe, restaurant, store",205台灣基隆市暖暖區暖暖街570巷112號,4.9,684
群賢閣蔬食餐廳,restaurant,201台灣基隆市信義區壽山路21號,4.7,400
北京素食館,restaurant,204台灣基隆市安樂區基金一路214之6號,4.5,121
余媽媽食堂,restaurant,206台灣基隆市七堵區福一街187號,4.8,68
百福素食麵線羹.素香排,restaurant,206台灣基隆市七堵區百五街64巷41號1樓,5.0,10
七善德齋-素食烘培,restaurant,204台灣基隆市安樂區基金一路208巷92-3號,4.9,75
欣喜悅素食火鍋,restaurant,204台灣基隆市安樂區基金三路82號,5.0,31
拾日飯堂,restaurant,202台灣基隆市中正區信四路23號,4.6,198
ChooseOne潛水堡(休假請至臉書或IG查看喔),restaurant,201台灣基隆市信義區 義七路 4號2樓,4.6,341
佛緣居私房料理/佛緣居麵線糊,restaurant,202台灣基隆市中正區義二路161號,4.5,160
艸木川蔬食（公休日請看臉書）,restaurant,200台灣基隆市仁愛區仁一路265巷7－1號號,4.7,93
掌聲穀麗（養生十穀粥）,restaurant,20647台灣基隆市七堵區工建路6號,5.0,6
醺饗私嬿 訂製您的私人派對,restaurant,206台灣基隆市七堵區綠葉街65巷78號,4.9,37
精一健康素食,restaurant,200台灣基隆市仁愛區精一路22-1號,4.9,81
佛緣素食小吃攤,restaurant,200台灣基隆市仁愛區愛三路21號2樓,4.8,19
尚農尋味山房,restaurant,206台灣基隆市七堵區大華三路45號,4.8,46
藍綠早蔬食坊（採預約制．請透過下方訂位按鈕與我們聯繫）,restaurant,204台灣基隆市安樂區基金一路208巷62號1樓,4.9,57
素溫馨小館,restaurant,200台灣基隆市仁愛區南榮路83號,4.8,28
成功素食臭豆腐,restaurant,203台灣基隆市中山區成功二路75號,4.7,56
基隆阿惠素食,restaurant,204台灣基隆市安樂區樂一路89號,5.0,4
山城古厝黑豆腐,restaurant,206台灣基隆市七堵區開元路42號,4.5,209
馥口棠素食,restaurant,200台灣基隆市仁愛區成功一路88號B1樓,4.7,17
泰機車泰客蔬食 Thai Hakka veggie cuisine,restaurant,"信三路12巷9號, 1樓, 中正區基隆市台灣 20241",4.7,112
十信素食基隆店,store,202002台灣基隆市中正區義二路118號,4.7,21
祥豐市場149素食攤,restaurant,201台灣基隆市中正區祥豐街66號,4.7,67
一麵之緣,restaurant,203台灣基隆市中山區復興路15號,4.8,34
拾再健康鍋品-基隆中山熱門鍋物|特色鍋物|人氣鍋物|海鮮火鍋|平價火鍋|外帶鍋物|精緻鍋物|麻辣火鍋,restaurant,203台灣基隆市中山區復興路236號,4.9,164
有點義式Pasta,restaurant,203台灣基隆市中山區復興路200-16號1樓,4.7,100
愚夫私廚 無菜單 西餐,restaurant,203台灣基隆市中山區復興路240-1號,4.6,311
🌈曉藝越南🇻🇳河粉(Phở🍜)(純正牛🐮骨精燉)(週日公休),restaurant,203台灣基隆市中山區復興路224號,4.6,70
謹聖廚房(無特定休）,restaurant,203台灣基隆市中山區中華路51號,4.7,452
隨香米粉羹,restaurant,203台灣基隆市中山區中山一路111號,5.0,12
曾豆腐（營業時間：臉書，IG）,restaurant,203台灣基隆市中山區西定路99號,4.6,620
御記台越美食,,20345台灣基隆市中山區文化路215號,4.5,71
Let's Poké 來吃波奇（夏威夷拌飯）,restaurant,203台灣基隆市中山區中山一路129號,4.8,291
融好台越美食小館,restaurant,203台灣基隆市中山區復興路200之18號,4.5,62
四海一家,restaurant,200台灣基隆市仁愛區愛二路1號,4.5,168
佬食所(公休日請看臉書),"meal_takeaway, restaurant, store",200台灣基隆市仁愛區南榮路27號2樓,4.7,378
嬌奶奶手工大水餃,restaurant,203台灣基隆市中山區復興路93-2號,4.6,53
好美味 健康蔬食,restaurant,No. 六號 義七路 信義區基隆市台灣 201,4.5,28
郭記胡椒餅,store,203台灣基隆市中山區中山一路303號,4.5,125
九如營養三明治西定店,store,203台灣基隆市中山區西定路107號,4.6,52
築夢踏食 Dreaming Taste,"bakery, store",203台灣基隆市中山區復興路95-6號2樓,4.7,58
佐藤お帰り-你回來了,restaurant,204台灣基隆市安樂區安一路132號,4.9,874
品昶手工小籠包,restaurant,203台灣基隆市中山區西定路187號,4.5,40
蔬食幸福食坊,restaurant,200台灣基隆市仁愛區忠四路54號31號橋下,5.0,18
陶林歡喜蔬食,restaurant,200台灣基隆市仁愛區愛三路21號2樓,5.0,5
拾日麵線糊,restaurant,200台灣基隆市仁愛區成功一路144號,4.8,6
滿緣素食,restaurant,200台灣基隆市仁愛區愛一路8號2f,5.0,2
美鳳素食,restaurant,200台灣基隆市仁愛區愛三路21號2號B41攤,5.0,2
無爭 • 手作料理,restaurant,201台灣基隆市信義區義三路4巷14號,4.8,164
沈爸麵線,restaurant,201台灣基隆市信義區信二路170號,4.9,25
媽媽的味道-簡水餃 Chien Dumpling,"meal_takeaway, restaurant",200台灣基隆市仁愛區龍安街219号,4.8,169
雙連鹹湯圓(基隆店),restaurant,200台灣基隆市仁愛區仁四路33號,4.8,82
NONNONSAID CAFE/儂儂說甜點專門店,"cafe, restaurant, store",200台灣基隆市仁愛區南榮路163號,4.9,1395
香燈素食芋香粥,restaurant,20141台灣基隆市信義區東明路36號,4.8,103
1026良食所,restaurant,201台灣基隆市信義區東明路66號,4.9,23
1632 Cafe & Diner,restaurant,201台灣基隆市信義區義六路32號,4.8,669
小腳落 Little corner,restaurant,201台灣基隆市信義區信一路141巷15號1樓,4.7,524
上文仙草布丁,restaurant,201台灣基隆市信義區信二路25之1號,4.8,60
宋家50年手工冷凍水餃｜大媽咪大餛飩,restaurant,201台灣基隆市信義區東明路235號,5.0,47
歡樂食光,restaurant,201台灣基隆市信義區信二路25號,4.7,134
火鍋世家基隆信一店,restaurant,201台灣基隆市信義區信一路101號,4.8,1882
東醍海鮮日式料理,restaurant,201台灣基隆市信義區東明路31號,4.9,68
鍋之日手作鍋物/壽喜燒（深溪店）,restaurant,201台灣基隆市信義區深溪路62號,5.0,3645
迦美廚房,restaurant,20145台灣基隆市信義區信一路60-1號,4.5,86
容易沉米蔬食,restaurant,204台灣基隆市安樂區麥金路438號1樓,4.9,69
陽光廚坊,restaurant,204台灣基隆市安樂區基金一路135巷25號,4.8,386
來得素早餐店,restaurant,204台灣基隆市安樂區基金一路110之24號,5.0,10
呷霸美食小吃,restaurant,204台灣基隆市安樂區基金三路71之3號,4.9,169
狀元香滷味-安樂市場,restaurant,204台灣基隆市安樂區樂一路5號,4.6,27
I V F 我素食,restaurant,205台灣基隆市暖暖區源遠路251-1號,4.9,7
暖暖的,restaurant,205台灣基隆市暖暖區暖暖街379巷125號1樓,4.6,476
素食麵線焿油飯,restaurant,205台灣基隆市暖暖區暖暖街195號,5.0,6
松鼠鬆餅（售完為止）,restaurant,205台灣基隆市暖暖區源遠路249巷187號,4.8,162
聚園料理美食館,restaurant,224台灣新北市瑞芳區粗坑口路43號,4.5,156
哈囉邦查原住民義式料理外帶工作室,restaurant,205台灣基隆市暖暖區源遠路249巷177號,4.9,122
暖暖區碇內社區/碇內里民會堂,,205台灣基隆市暖暖區暖碇路15巷136號,4.5,57
暖暖 K.D House凱蒂窩,restaurant,205台灣基隆市暖暖區東勢街10號,4.5,542
胖老闆（三點水手作坊）,restaurant,205台灣基隆市暖暖區碇內街92號,4.7,12
童童濰可早午餐,restaurant,205台灣基隆市暖暖區源遠路175號,4.5,35
石頭厝(樂田蔬食)只接受預約客戶,restaurant,266001台灣宜蘭縣三星鄉中山路三段370號,4.8,103
北后寺·雲水食堂,restaurant,264台灣宜兰县员山乡八甲路4號,4.8,18
尼羅河餐坊,restaurant,266台灣宜蘭縣三星鄉三星路二段265巷100號,5.0,1
夢想成真養身蔬果餐（自助式火鍋吃到飽）,,266台灣宜蘭縣三星鄉上將路一段366號,4.9,29
蝸牛慢慢走 蔬食料理,"cafe, restaurant, store",260台灣宜蘭縣宜蘭市自強路86號,4.8,698
Vegan 蔬食餐廳(三合餅鋪),restaurant,260台灣宜蘭縣宜蘭市梅洲二路65號2樓,4.7,154
差不多御藏私房,restaurant,266台灣宜蘭縣三星鄉星洲路一段183號,4.6,1550
鹿野苑蔬食料理廚房,"cafe, restaurant",264台灣宜蘭縣員山鄉金山西路221號,4.5,1216
上善豆家 宜蘭店,restaurant,260台灣宜蘭縣宜蘭市舊城南路縣府一巷8號,4.6,413
看見初食蔬食廚房（最後點餐為營業打烊前一個小時）,restaurant,265台灣宜蘭縣羅東鎮中山路一段157號,4.7,471
白蓮寺不二齋-喜悅素鍋,restaurant,269台灣宜蘭縣冬山鄉永興路二段867號,4.8,185
一簞食,restaurant,264台灣宜蘭縣員山鄉尚深路124號,4.7,250
毓秀蔬食廚房 (供餐時間11:00-15:00）,restaurant,260台灣宜蘭縣宜蘭市新興路13之1號1樓,4.8,201
日九蔬食,restaurant,264台灣宜蘭縣員山鄉員山路一段300號,4.7,218
淡淡的幸福蔬食料理廚房,restaurant,265台灣宜蘭縣羅東鎮林森路134號,4.5,477
綠曄蔬食坊,restaurant,265台灣宜蘭縣羅東鎮公正路336號,4.8,65
秋月鍋物（最後收客時間13:00/19:00）,restaurant,266台灣宜蘭縣三星鄉大埔一路102號,5.0,393
錢來麵線舖（素素看）,restaurant,265台灣宜蘭縣羅東鎮中正北路159號,5.0,160
蔬泰鄉雲泰素食,restaurant,269台灣宜蘭縣冬山鄉冬山路三段195號,4.6,443
蓮心蔬食,restaurant,260台灣宜蘭縣宜蘭市中華路17號,4.7,286
回家Coffee（預約制）,restaurant,266台灣宜蘭縣三星鄉星義路77號,4.9,247
明溱禪悅無菜單養生料理,restaurant,262台灣宜蘭縣礁溪鄉武暖路121-7號,4.7,332
滿天香會客菜,restaurant,266台灣宜蘭縣三星鄉三星路三段363號,5.0,3
春日和 · 一日蔬心,"meal_takeaway, restaurant",260003台灣宜兰县宜兰市民生街3號之一,5.0,42
546大洲老宅 (3/22-26員工旅遊，無法接聽電話，預約請私訊粉專,restaurant,266台灣宜蘭縣三星鄉上將路二段546號,4.5,419
淳素食,restaurant,265台灣宜蘭縣羅東鎮中山路四段187號,4.9,70
雪朵蔬食 雪花冰,restaurant,265台灣宜蘭縣羅東鎮公正路348號,4.9,70
耕善緣,restaurant,264台灣宜蘭縣員山鄉尚深路84號,4.8,23
靜候披薩｜柴燒窯烤🪵（週三公休） 𝟯 月公休日：𝟭𝟴.𝟮𝟭.𝟮𝟱.𝟮𝟴.𝟮𝟵.𝟯𝟬.𝟯𝟭,"meal_takeaway, restaurant, store",268台灣宜蘭縣五結鄉中興路三段256巷6-24號,4.8,271
秋冬時蔬小農,"grocery_or_supermarket, restaurant, store",266台灣宜蘭縣三星鄉成功路37-6號,5.0,1
馨養軒,restaurant,266台灣宜蘭縣三星鄉義德二路58號,4.6,137
PP.99 CAFE (最後點餐15:00，星期二，三店休）最新資訊請看粉絲頁,"restaurant, store",268台灣宜蘭縣五結鄉鎮安路63巷2號,4.5,427
羅東•素,restaurant,265台灣宜蘭縣羅東鎮興東南路228巷2號,4.9,87
舒食好食光,restaurant,268台灣宜蘭縣五結鄉五結北路29號,4.8,241
丰盛小館,restaurant,268台灣宜蘭縣五結鄉季水路清水三巷21號,4.9,515
豪媽全植物飲食,"grocery_or_supermarket, restaurant, store",269台灣宜蘭縣冬山鄉冬山路五段343號,4.5,103
登地輕食坊(素食自然有機餐廳)（預約）,restaurant,268020台灣宜蘭縣五結鄉季水路36號,4.6,23
陽光田園 Pasta (五結店)｜宜蘭美食｜五結美食｜五結必吃｜在地推薦｜人氣餐廳｜聚餐首選｜義大利麵｜排餐｜,store,268台灣宜蘭縣五結鄉五結中路二段59號,4.8,901
呷百味,restaurant,268台灣宜蘭縣五結鄉五濱路二段201號2樓,4.7,69
香二代目豆花甜品,restaurant,268台灣宜蘭縣五結鄉五結路三段756號,4.9,451
結緣素食店,restaurant,265台灣宜蘭縣羅東鎮清潭路100號,4.7,17
幸福味餐館,"restaurant, store",26847台灣宜蘭縣五結鄉二結路38號,4.9,2272
舜惠素材,,268台灣宜蘭縣五結鄉五結路二段193號,5.0,6
馬家田的店 素食,restaurant,265台灣宜蘭縣羅東鎮民族路72號,4.5,98
享家時刻Home Essence Cafe,"bakery, cafe, restaurant, store",268台灣宜蘭縣五結鄉五濱路二段201號（傳藝中心魯班街六號）,4.5,112
羅東 福田素食,restaurant,265台灣宜蘭縣羅東鎮和平路52號,4.8,65
宜蘭 慈恩素食,restaurant,260台灣宜蘭縣宜蘭市民權新路172號,4.5,223
宝飯堡沖繩飯糰|葷食|素食|,"restaurant, store",265005台灣宜蘭縣羅東鎮公園路58號,4.8,216
芯田樹願×《蔬食中西式早午餐》,restaurant,260台灣宜蘭縣宜蘭市民族路412號,4.6,381
阿美食堂,restaurant,268台灣宜蘭縣五結鄉協和中路17-5號,4.9,69
呷七碗宜蘭傳藝店,restaurant,26841台灣宜蘭縣五結鄉五濱路二段201號,4.6,1346
順好素食,restaurant,"265 號, No. 105民權路羅東鎮宜蘭縣台灣 265",4.7,128
實驗廚房Lab748,restaurant,268台灣宜蘭縣五結鄉五結路三段748號,4.7,37
珍善緣素食館(阿娟姨素食),restaurant,260台灣宜蘭縣宜蘭市校舍路8號,4.7,165
無名飯糰,restaurant,268台灣宜蘭縣五結鄉二結路118號,4.7,31
好味來,restaurant,268台灣宜蘭縣五結鄉大興路107巷2號,4.7,385
花見日和はなみびより,"bakery, cafe, restaurant, store",268台灣宜蘭縣五結鄉中正路二段7巷5號,4.9,460
五結養生飯糰,restaurant,268台灣宜蘭縣五結鄉五結中路二段41號,4.6,31
蘭陽溪口親子餐廳,"cafe, restaurant",268台灣宜蘭縣五結鄉溪濱路一段133號,4.7,2177
建誼現滷滷味宜蘭五結店｜深夜美食｜227有營業｜新年快樂｜,restaurant,268台灣宜蘭縣五結鄉五結路二段301號,4.9,159
日暮晴,restaurant,260台灣宜蘭縣宜蘭市農權路二段8號,4.5,461
陳家庄農園 居仁米 宜蘭米🌾 蘭陽米🌾糙米 米穀粉 米鬆餅 米漿 壽司米 香米 紫米 黑米 蓬萊米 米餅 米蛋捲 糙米粉,store,268台灣宜蘭縣五結鄉中興路一段172號,5.0,23
香格里拉冬山河渡假飯店 - 卡布里西餐廳,restaurant,268台灣宜蘭縣五結鄉公園二路15號,4.5,32
藝素 蔬食早午餐,restaurant,269台灣宜蘭縣冬山鄉冬山路五段386號,4.9,74
緣素素食,restaurant,269台灣宜蘭縣冬山鄉義成路三段325號,4.7,102
芳齋-素食手工料理,"meal_takeaway, restaurant",269台灣宜蘭縣冬山鄉冬山路180號第14號攤位,5.0,1
和光找安,restaurant,269台灣宜蘭縣冬山鄉義成路一段399號,4.8,389
舒食伴飯,restaurant,269台灣宜蘭縣冬山鄉冬山路301號,4.5,202
Tina's kitchen 蒂娜廚房,restaurant,269台灣宜蘭縣冬山鄉冬山路三段301巷79弄19號,4.7,253
IBU廚房x冬瓜山書店,restaurant,"269台灣宜蘭縣冬山鄉南興路54巷9號, 269",4.5,135
老司G Tea&Coffee -冬山人氣咖啡廳|網美下午茶|必去咖啡廳|打卡美食|親子餐廳|熱門咖啡廳|必吃義大利麵|聚會包場|景觀餐廳,"cafe, restaurant, store",269台灣宜蘭縣冬山鄉光明路344號,4.8,801
吉祥冰城,"restaurant, store",265台灣宜蘭縣羅東鎮興東南路135號,4.8,121
小華村純米手作粿店,"bakery, restaurant, store",269台灣宜蘭縣冬山鄉冬山路209號,4.7,1106
布拉格林蔬食堡(羅東Hata店),restaurant,265台灣宜蘭縣羅東鎮南盟路8號,4.6,45
飛魚食染-鹽滷豆花專賣店,restaurant,26948台灣宜蘭縣冬山鄉中正路42號,4.6,2328
有蟲咬物文創餐屋(火鍋/簡餐),"museum, restaurant",269台灣宜蘭縣冬山鄉宜東路450巷46號,4.8,2038
乙森食堂,restaurant,269台灣宜蘭縣冬山鄉義成路三段440-1號,4.7,1001
Cuisine LOHERB 日光私廚 法式餐廳,restaurant,269台灣宜蘭縣冬山鄉寶福路372號,4.5,305
歸．覓 義式廚房/附停車場,restaurant,26946台灣宜蘭縣冬山鄉冬山路三段690號ㄧ樓,4.8,518
松鼠找食,restaurant,269台灣宜蘭縣冬山鄉義成路三段167號,4.6,363
星玥鐵板燒（不定期公休，用餐請先來電）,restaurant,269台灣宜蘭縣冬山鄉永興路二段690巷35號,4.8,581
隨緣蔬食,restaurant,270台灣宜蘭縣蘇澳鎮福德路454號,4.7,35
是間素食店,restaurant,270台灣宜蘭縣蘇澳鎮南安路205號,5.0,22
Bonnie's手作廚房,restaurant,270台灣宜蘭縣蘇澳鎮南澳路8號,5.0,24
尤浪漢私房料理（家中有事 近期公休）,restaurant,272台灣宜蘭縣南澳鄉蘇花路三段191號,4.7,770
金岳莎韻部落廚房（預約制）,restaurant,272台灣宜蘭縣南澳鄉金岳路12號,4.8,159
五一水餃,restaurant,270台灣宜蘭縣蘇澳鎮蘇花路二段326巷6號,4.5,135
大徳素食店,restaurant,"No. 85號, Datong Rd, 蘇澳鎮宜蘭縣台灣 270",4.5,53
荷悅蔬食園自助餐,restaurant,263台灣宜蘭縣壯圍鄉中央路二段295號,4.7,179
自如鹽鹵豆腐坊,store,270台灣宜蘭縣蘇澳鎮中原路62號,4.6,17
小豆田茶餐室DOMO（營業時間以粉絲專頁公告為主）/宜蘭下午茶/宜蘭咖啡廳/戚風蛋糕/蔬食料理/宜蘭午餐晚餐,"bakery, restaurant, store",260台灣宜蘭縣宜蘭市民族路260號,4.8,270
守宮屋生活館#宜蘭地中海蔬食(需2天前預約 #蛋糕 #鹹派 #咖啡 #下午茶),restaurant,264台灣宜蘭縣員山鄉同新路339號,4.9,146
礁溪素食,restaurant,262台灣宜蘭縣礁溪鄉中山路一段270號 號,4.5,131
南澳阿財早餐店｜包子饅頭｜粉漿蛋餅,restaurant,270台灣宜蘭縣蘇澳鎮蘇花路二段352號,4.6,252
蔬吧滷 蔬食,restaurant,260台灣宜蘭縣宜蘭市宜中路55號,4.6,111
HJ 手作定食 ｜中式定食｜宜蘭員山定食（營業時間以臉書IG公告為主,restaurant,264台灣宜蘭縣員山鄉員山路一段460號,4.8,141
可美love 泰雅簡餐.鍋物親子餐廳,restaurant,267002台灣宜蘭縣大同鄉泰雅路二段38號,4.9,285
伊娜美食屋「預約制」,restaurant,267台灣宜蘭縣大同鄉崙埤60-1號,4.5,220
饗素食,restaurant,260台灣宜蘭縣宜蘭市女中路三段126號,5.0,1
全民素食,restaurant,260台灣宜蘭縣宜蘭市民族路381號,4.5,887
有機大地健康蔬食餐廳,restaurant,262台灣宜蘭縣礁溪鄉中山路二段51號,4.5,512
宜見川辛-松羅窯烤PIZZA貨櫃屋｜烤雞｜烤肉拼盤｜咖啡｜義大利麵｜生啤,"cafe, restaurant",267台灣宜蘭縣大同鄉松羅南巷35-7號,4.9,469
嵩屋會館,restaurant,267台灣宜蘭縣大同鄉20、267,4.9,85
素義風味坊,restaurant,260台灣宜蘭縣宜蘭市光復路79-1號,4.7,362
Together 在一起 蔬食❤️,restaurant,260台灣宜蘭縣宜蘭市聖後街39號,5.0,93
三萩茶會・宜蘭首席茶點品牌 ｜茶點招待服務・品牌接待空間 宜蘭伴手禮 11:00–18:00,store,"29號, No. 29號和睦路宜蘭市宜蘭縣台灣 260",4.8,212
晴朗餐廳x Sunny café,"restaurant, store",260台灣宜蘭縣宜蘭市宜興路一段159號,4.8,1063
心裡有素,restaurant,260026台灣宜蘭縣宜蘭市健康路二段53號,4.5,160
玉川日嚐•蔬食料理（調整至4/1恢復營業）,restaurant,260台灣宜蘭縣宜蘭市中山路三段314號,5.0,2
